une gomme	des gommes
un livre	des livres
un ordinateur	des ordinateurs
un acteur	des acteurs
un pays	des pays
une voix	des voix
un nez	des nez
un animal	des animaux
un travail	des travaux
un journal	des journaux
un château	des châteaux
un feu	des feux
un gâteau	des gâteaux
un cheval	des chevaux
poli	polis
grand	grande
noir	noire
blanc	blanche
polis	polies
jolis	jolies
bruns	brunes
brun	brune
gross (masculino)	grosse
roux (masculino)	rousse
faux (masculino)	fausse
français (masculino)	française
gross (femenino)	grosses
roux (femenino)	rousses
faux (femenino)	fausses
français (femenino)	françaises
beau	beaux
belle	belles
égal	égaux
égale	égales
